,Couse Name,Course URL,Expiry_Date,Coupon
0,Blender for 3DS Max Users,https://www.udemy.com/course/designer-training-with-inkscape-13/?couponCode=EW_AR_CAMP_NEW_LA,2023-03-15,EW_AR_CAMP_NEW_LA
1,3D retail stamps with Blender,https://www.udemy.com/course/3d-retail-stamps-with-blender/?couponCode=SSW_34_AMP_NEW_EW,2023-03-15,SSW_34_AMP_NEW_EW
2,Characters for Beginners in Blender,https://www.udemy.com/course/packshot-3d-with-blender/?couponCode=13SSW_AR_AMP_NEW_EW,2023-03-15,13SSW_AR_AMP_NEW_EW
3,Blender 3.0 - product preview,https://www.udemy.com/course/blender-30-product-preview/?couponCode=ASW_AR_AMP_NEW_EW,2023-03-15,ASW_AR_AMP_NEW_EW
4,Production workflow with Blender,https://www.udemy.com/course/packshot-modeling-product-kodak-printomatic/?couponCode=CHILE-STUDENT-GR1,2023-03-15,CHILE-STUDENT-GR1
5,Packshot 3d with Blender 2.90,https://www.udemy.com/course/concept-design-for-3d-artists-mastering-sketching/?couponCode=EW_BR_CAMP_NEW_LA,2023-03-15,EW_BR_CAMP_NEW_LA
6,العمل من المنزل: تحليل 50 طريقة لكسب المال عبر الإنترنت,https://www.udemy.com/course/masters-partners-program/?couponCode=AR-UNI-AUDIANCE,2023-03-15,AR-UNI-AUDIANCE
7,File & Folder Management in Depth - Using PowerShell,https://www.udemy.com/course/using-powershell-advanced-automated-file-management/?couponCode=MARCH-GIFT3,2023-03-12,MARCH-GIFT3
8,Formação para Designer,https://www.udemy.com/course/inkscape-para-design/?couponCode=NA-BR-STU-CAP,2023-03-15,NA-BR-STU-CAP
9,Xero Job Costing – Projects,https://www.udemy.com/course/xero-job-costing-projects/?couponCode=6DF0D7C51575CED46060,2023-03-15,6DF0D7C51575CED46060
10,QuickBooks Online Not for Profit Organization,https://www.udemy.com/course/quickbooks-online-not-for-profit-organization/?couponCode=84713F908130DE2A95E5,2023-03-15,84713F908130DE2A95E5
11,Xero Not for Profit Organization,https://www.udemy.com/course/xero-not-for-profit-organization/?couponCode=16F536841E01AD9A7524,2023-03-15,16F536841E01AD9A7524
12,Aplos Not for Profit Accounting Software,https://www.udemy.com/course/aplos-not-for-profit-accounting-software/?couponCode=FE7CA1AF53F0F7329A28,2023-03-15,FE7CA1AF53F0F7329A28
13,Online Business – Work from Home,https://www.udemy.com/course/online-business-work-from-home/?couponCode=C6A548D924512A40EE65,2023-03-15,C6A548D924512A40EE65
14,Advanced Financial Accounting,https://www.udemy.com/course/advanced-financial-accounting/?couponCode=B8E5F268086CE588FB3F,2023-03-15,B8E5F268086CE588FB3F
15,Corporate Finance,https://www.udemy.com/course/corporate-finance/?couponCode=3CE7DAAF68EBB603B3DE,2023-03-15,3CE7DAAF68EBB603B3DE
16,QuickBooks Pro Desktop Bookkeeping With Bank Feeds 2021,https://www.udemy.com/course/quickbooks-pro-desktop-bookkeeping-with-bank-feeds-2021/?couponCode=5F9B980222D14878D97B,2023-03-15,5F9B980222D14878D97B
17,QuickBooks Desktop – Export Directly to Tax Software Lacerte,https://www.udemy.com/course/quickbooks-desktop-export-directly-to-tax-software-lacerte/?couponCode=446C4CD108F04CD7C1B2,2023-03-15,446C4CD108F04CD7C1B2
18,QuickBooks Desktop Multiple Currencies,https://www.udemy.com/course/quickbooks-desktop-multiple-currencies/?couponCode=FB2196760ABB48AFD9B1,2023-03-15,FB2196760ABB48AFD9B1
19,QuickBooks Enterprise-Classes-Responsibility Accounting,https://www.udemy.com/course/quickbooks-enterprise-classes-responsibility-accounting/?couponCode=DB6096A6BBBF69767D76,2023-03-15,DB6096A6BBBF69767D76
20,QuickBooks Enterprise 2020- Two Businesses & Personal in One,https://www.udemy.com/course/quickbooks-enterprise-2020-two-businesses-personal-in-one/?couponCode=B2A4AA677DD1E2BC69AE,2023-03-15,B2A4AA677DD1E2BC69AE
21,Individual Income Tax Form 1040 Comprehensive Problem,https://www.udemy.com/course/individual-income-tax-form-1040-comprehensive-problem/?couponCode=1D64B1454D7DF63583C1,2023-03-15,1D64B1454D7DF63583C1
22,QuickBooks Online (QBO) Bookkeeping With Bank Feeds 2021,https://www.udemy.com/course/quickbooks-online-qbo-bookkeeping-with-bank-feeds-2021/?couponCode=AE4AC7C62C225440FF54,2023-03-15,AE4AC7C62C225440FF54
23,QuickBooks Desktop vs QBO Multiple Currencies,https://www.udemy.com/course/quickbooks-desktop-vs-qbo-multiple-currencies/?couponCode=D76EDF467658DBB2A91C,2023-03-15,D76EDF467658DBB2A91C
24,Money In Excel - Income Tax Sch. C & Personal Financials,https://www.udemy.com/course/money-in-excel-income-tax-sch-c-personal-financials/?couponCode=1B44E03A39BFD9F23B57,2023-03-15,1B44E03A39BFD9F23B57
